"tank","round","group_id","koura_id","size_class","sex","size_mm1","weight_g1","date","stage","t_leave_s","t_l0_s","location_code","reef_type","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
1,1,NA,1,"M","F",25.62,10,2025-09-01,"L0","NA",242,"A","WoodLog",8,2,NA,NA,NA,NA,NA,NA,"Different hole",NA
1,1,NA,1,"M","F",25.62,10,2025-09-01,"L1","NA",242,"A","WoodLog",8,2,NA,NA,NA,NA,NA,NA,"Different hole",NA
2,1,NA,2,"M","M",27.25,14,2025-09-01,"L0","NA",602,"B","FlatStone",8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,2,"M","M",27.25,14,2025-09-01,"L1","NA",602,"D","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,NA,3,"M","M",25.97,11,2025-09-01,"L0","NA",193,"B","StonePile",8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,NA,3,"M","M",25.97,11,2025-09-01,"L1","NA",193,"A","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,4,"M","F",27.45,14,2025-09-01,"L0","NA",143,"D","FlatStone",8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,4,"M","F",27.45,14,2025-09-01,"L1","NA",143,"C","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,1,NA,5,"M","M",23.71,9,2025-09-01,"L0","NA",367,"A","StonePile",8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,1,NA,5,"M","M",23.71,9,2025-09-01,"L1","NA",367,"B","StonePile",8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,6,"M","F",27.49,14,2025-09-01,"L0","NA",221,"D","StonePile",8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,6,"M","F",27.49,14,2025-09-01,"L1","NA",221,"A","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,2,NA,7,"M","F",28.94,16,2025-09-02,"L0","158",177,"A","WoodLog",8,2,NA,31.49,19,8,2,2,"on video see kōura next to WoodLog",NA
1,2,NA,7,"M","F",28.94,16,2025-09-02,"L1","158",177,"D","StonePile",8,2,NA,31.49,19,8,2,2,"on video see kōura next to WoodLog",NA
2,2,NA,8,"M","F",29.78,17,2025-09-02,"L0","10",16,"B","FlatStone",8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,2,NA,8,"M","F",29.78,17,2025-09-02,"L1","10",16,"A","StonePile",8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,2,NA,9,"M","M",24.7,10,2025-09-02,"L0","513",600,"E","TankWall",7,2,NA,NA,NA,NA,NA,NA,NA,NA
3,2,NA,9,"M","M",24.7,10,2025-09-02,"L1","513",600,"D","WoodLog",7,2,NA,NA,NA,NA,NA,NA,NA,NA
4,2,NA,10,"M","F",25.21,7,2025-09-02,"L0","135",225,"C","WoodLog",6,2,2,NA,NA,NA,NA,NA,NA,"1 claw small"
4,2,NA,10,"M","F",25.21,7,2025-09-02,"L1","135",225,"C","WoodLog",6,2,2,NA,NA,NA,NA,NA,NA,"1 claw small"
5,2,NA,11,"M","M",29.49,17,2025-09-02,"L0","9",239,"A","StonePile",8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,NA,11,"M","M",29.49,17,2025-09-02,"L1","9",239,"C","FlatStone",8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,2,NA,12,"M","M",24.57,10,2025-09-02,"L0","94",183,"A","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,2,NA,12,"M","M",24.57,10,2025-09-02,"L1","94",183,"A","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,3,NA,13,"M","M",23.84,8,2025-09-03,"L0","88",125,"A","FlatStone",8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,3,NA,13,"M","M",23.84,8,2025-09-03,"L1","88",125,"C","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,3,NA,14,"M","F",25.18,10,2025-09-03,"L0","31",50,"A","StonePile",8,2,2,26.52,11,8,2,2,NA,"blue"
2,3,NA,14,"M","F",25.18,10,2025-09-03,"L1","31",50,"A","StonePile",8,2,2,26.52,11,8,2,2,NA,"blue"
3,3,NA,15,"M","M",22.61,8,2025-09-03,"L0","353",453,"C","SingleStone",8,2,NA,24.17,8,7,1,2,NA,NA
3,3,NA,15,"M","M",22.61,8,2025-09-03,"L1","353",453,"D","WoodLog",8,2,NA,24.17,8,7,1,2,NA,NA
4,3,NA,16,"M","M",25.8,11,2025-09-03,"L0","261",600,"E","TankWall",7,1,NA,NA,NA,NA,NA,NA,NA,NA
4,3,NA,16,"M","M",25.8,11,2025-09-03,"L1","261",600,"B","WoodLog",7,1,NA,NA,NA,NA,NA,NA,NA,NA
5,3,NA,17,"M","F",25.33,11,2025-09-03,"L0","128",218,"A","FlatStone",7,2,2,NA,NA,NA,NA,NA,NA,NA
5,3,NA,17,"M","F",25.33,11,2025-09-03,"L1","128",218,"B","WoodLog",7,2,2,NA,NA,NA,NA,NA,NA,NA
6,3,NA,18,"M","F",28.79,16,2025-09-03,"L0","395",402,"B","StonePile",8,2,2,NA,NA,NA,NA,NA,NA,NA
6,3,NA,18,"M","F",28.79,16,2025-09-03,"L1","395",402,"C","FlatStone",8,2,2,NA,NA,NA,NA,NA,NA,NA
1,4,NA,19,"M","F",28.72,14,2025-09-04,"L0","356",408,"B","FlatStone",8,2,2,NA,NA,NA,NA,NA,NA,NA
1,4,NA,19,"M","F",28.72,14,2025-09-04,"L1","356",408,"B","FlatStone",8,2,2,NA,NA,NA,NA,NA,NA,NA
2,4,NA,20,"M","F",23.22,7,2025-09-04,"L0","429",466,"D","SingleStone",8,2,2,23.94,10,8,2,2,"Moulted","Moulted"
2,4,NA,20,"M","F",23.22,7,2025-09-04,"L1","429",466,"D","SingleStone",8,2,2,23.94,10,8,2,2,"Moulted","Moulted"
3,4,NA,21,"M","F",27.87,16,2025-09-04,"L0","221",268,"D","FlatStone",8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
3,4,NA,21,"M","F",27.87,16,2025-09-04,"L1","221",268,"D","FlatStone",8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
4,4,NA,22,"M","M",28.47,14,2025-09-04,"L0","1",7,"C","FlatStone",8,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
4,4,NA,22,"M","M",28.47,14,2025-09-04,"L1","1",7,"B","WoodLog",8,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
5,4,NA,23,"M","M",23.85,8,2025-09-04,"L0","166",182,"D","FlatStone",8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,4,NA,23,"M","M",23.85,8,2025-09-04,"L1","166",182,"B","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,4,NA,24,"M","M",28.17,15,2025-09-04,"L0","600",626,"C","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,4,NA,24,"M","M",28.17,15,2025-09-04,"L1","600",626,"C","WoodLog",8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,5,NA,25,"M","F",24.34,9,2025-09-05,"L0","221",245,"A","StonePile",7,2,2,25.73,10,8,2,2,NA,NA
1,5,NA,25,"M","F",24.34,9,2025-09-05,"L1","221",245,"D","WoodLog",7,2,2,25.73,10,8,2,2,NA,NA
2,5,NA,26,"M","M",25.97,13,2025-09-05,"L0","96",134,"D","FlatStone",8,2,NA,28.33,17,8,2,2,NA,"Moulted"
2,5,NA,26,"M","M",25.97,13,2025-09-05,"L1","96",134,"B","WoodLog",8,2,NA,28.33,17,8,2,2,NA,"Moulted"
3,5,NA,27,"M","F",28.89,14,2025-09-05,"L0","406",651,"A","StonePile",8,2,2,NA,NA,NA,NA,NA,NA,NA
3,5,NA,27,"M","F",28.89,14,2025-09-05,"L1","406",651,"B","WoodLog",8,2,2,NA,NA,NA,NA,NA,NA,NA
4,5,NA,28,"M","M",26.42,13,2025-09-05,"L0","600",735,"C","WoodLog",8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
4,5,NA,28,"M","M",26.42,13,2025-09-05,"L1","600",735,"C","WoodLog",8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
5,5,NA,29,"M","M",29.97,17,2025-09-05,"L0","1",60,"B","SingleStone",8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
5,5,NA,29,"M","M",29.97,17,2025-09-05,"L1","1",60,"A","FlatStone",8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
6,5,NA,30,"M","F",27.24,13,2025-09-05,"L0","25",60,"B","WoodLog",8,2,2,NA,NA,NA,NA,NA,NA,NA
6,5,NA,30,"M","F",27.24,13,2025-09-05,"L1","25",60,"B","WoodLog",8,2,2,NA,NA,NA,NA,NA,NA,NA
