"tank","round","group_id","koura_id","size_class","sex","date","stage","t_leave_s","t_l0_s","location_code","reef_type","legs","claws","antenna","size_mm_stage","weight_g_stage","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
1,1,1,37,"S","M",2025-09-08,"L0",NA,NA,"B","SingleStone",8,2,2,17.82,1,17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,37,"S","M",2025-09-08,"L1",NA,NA,"A","WoodLog",8,2,2,NA,NA,17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,73,"S","M",2025-09-08,"L0",NA,NA,"D","FlatStone",8,2,2,21.15,6,21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
1,1,1,73,"S","M",2025-09-08,"L1",NA,NA,"A","WoodLog",8,2,2,NA,NA,21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
1,1,1,39,"M","M",2025-09-08,"L0",NA,NA,"A","WoodLog",8,2,2,26.62,10,26.62,10,8,2,NA,28.79,15,8,2,2,NA,"Moulted"
1,1,1,39,"M","M",2025-09-08,"L1",NA,NA,"D","FlatStone",8,2,2,28.79,15,26.62,10,8,2,NA,28.79,15,8,2,2,NA,"Moulted"
1,1,1,40,"M","M",2025-09-08,"L0",NA,NA,"A","WoodLog",6,2,2,25.88,11,25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
1,1,1,40,"M","M",2025-09-08,"L1",NA,NA,"D","FlatStone",6,2,2,NA,NA,25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
1,1,1,41,"L","M",2025-09-08,"L0",NA,NA,"D","FlatStone",8,2,2,38.88,39,38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,41,"L","M",2025-09-08,"L1",NA,NA,"D","FlatStone",8,2,2,NA,NA,38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,42,"L","M",2025-09-08,"L0",NA,NA,"C","StonePile",8,2,2,38.72,37,38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,1,1,42,"L","M",2025-09-08,"L1",NA,NA,"C","StonePile",8,2,2,NA,NA,38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,43,"S","M",2025-09-08,"L0",NA,NA,"C","SingleStone",8,1,2,21.55,7,21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,43,"S","M",2025-09-08,"L1",NA,NA,"D","WoodLog",8,1,2,NA,NA,21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,74,"S","M",2025-09-08,"L0",NA,NA,"C","StonePile",7,2,2,16.24,1,16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,74,"S","M",2025-09-08,"L1",NA,NA,"C","StonePile",7,2,2,NA,NA,16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,45,"M","M",2025-09-08,"L0",NA,NA,"A","SingleStone",8,1,2,25.2,10,25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,45,"M","M",2025-09-08,"L1",NA,NA,"B","FlatStone",8,1,2,NA,NA,25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,46,"M","M",2025-09-08,"L0",NA,NA,"C","StonePile",7,2,2,29.49,16,29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,46,"M","M",2025-09-08,"L1",NA,NA,"C","StonePile",7,2,2,NA,NA,29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,47,"L","M",2025-09-08,"L0",1899-12-31 00:01:00,NA,"B","FlatStone",8,2,2,41.25,42,41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
2,1,2,47,"L","M",2025-09-08,"L1",1899-12-31 00:01:00,NA,"B","FlatStone",8,2,2,NA,NA,41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
2,1,2,48,"L","M",2025-09-08,"L0",NA,NA,"B","FlatStone",8,2,2,35.25,27,35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,48,"L","M",2025-09-08,"L1",NA,NA,"C","StonePile",8,2,2,NA,NA,35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,3,49,"S","M",2025-09-08,"L0",NA,NA,"C","FlatStone",6,2,2,21.29,5,21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,49,"S","M",2025-09-08,"L1",NA,NA,"A","WoodLog",6,2,2,NA,NA,21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,79,"S","M",2025-09-08,"L0",NA,NA,"C","FlatStone",5,1,2,20.62,6,20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
3,1,3,79,"S","M",2025-09-08,"L1",NA,NA,"A","WoodLog",5,1,2,NA,NA,20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
3,1,3,51,"M","M",2025-09-08,"L0",NA,NA,"C","FlatStone",8,1,2,23.49,8,23.49,8,8,1,NA,25.56,12,7,2,2,NA,"Moulted"
3,1,3,51,"M","M",2025-09-08,"L1",NA,NA,"C","FlatStone",8,1,2,25.56,12,23.49,8,8,1,NA,25.56,12,7,2,2,NA,"Moulted"
3,1,3,52,"M","M",2025-09-08,"L0",NA,NA,"E","TankWall",5,1,2,25.55,10,25.55,10,6,1,2,NA,NA,NA,NA,NA,"By getting out of WoodLog 1 claw felt off","Moulted"
3,1,3,52,"M","M",2025-09-08,"L1",NA,NA,"A","WoodLog",5,0,2,NA,NA,25.55,10,6,1,2,NA,NA,NA,NA,NA,"By getting out of WoodLog 1 claw felt off","Moulted"
3,1,3,53,"L","M",2025-09-08,"L0",NA,NA,"D","SingleStone",8,2,2,30.72,20,30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,53,"L","M",2025-09-08,"L1",NA,NA,"A","WoodLog",8,2,2,NA,NA,30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,54,"L","M",2025-09-08,"L0",NA,NA,"B","StonePile",8,2,2,43.34,57,43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,3,54,"L","M",2025-09-08,"L1",NA,NA,"B","StonePile",8,2,2,NA,NA,43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,4,55,"S","M",2025-09-08,"L0",NA,NA,"A","SingleStone",8,2,2,18.26,4,18.26,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA
