"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
1,1,1,37,"S","M",NA,"L0","B","WoodSplit",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,37,"S","M",NA,"L1","A","FlatStone",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,73,"S","M",NA,"L0","A","FlatStone",21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
1,1,1,73,"S","M",NA,"L1","A","FlatStone",21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
1,1,1,39,"M","M",NA,"L0","A","FlatStone",28.79,15,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
1,1,1,39,"M","M",NA,"L1","B","WoodSplit",28.79,15,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
1,1,1,40,"M","M",NA,"L0","B","WoodSplit",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
1,1,1,40,"M","M",NA,"L1","A","FlatStone",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
1,1,1,41,"L","M",NA,"L0","B","WoodSplit",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,41,"L","M",NA,"L1","A","FlatStone",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,42,"L","M",NA,"L0","E","TankWall",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,1,1,42,"L","M",NA,"L1","A","FlatStone",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,43,"S","M",NA,"L0","B","FlatStone",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,43,"S","M",NA,"L1","B","FlatStone",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,74,"S","M",NA,"L0","A","WoodSplit",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,74,"S","M",NA,"L1","B","FlatStone",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,45,"M","M",NA,"L0","B","FlatStone",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,45,"M","M",NA,"L1","B","FlatStone",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,46,"M","M",NA,"L0","B","FlatStone",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,46,"M","M",NA,"L1","B","FlatStone",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,47,"L","M",NA,"L0","B","FlatStone",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
2,1,2,47,"L","M",NA,"L1","B","FlatStone",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
2,1,2,48,"L","M",NA,"L0","B","FlatStone",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,1,2,48,"L","M",NA,"L1","B","FlatStone",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,3,49,"S","M",NA,"L0","B","WoodSplit",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,49,"S","M",NA,"L1","B","WoodSplit",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,79,"S","M",NA,"L0","A","FlatStone",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
3,1,3,79,"S","M",NA,"L1","A","FlatStone",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
3,1,3,51,"M","M",NA,"L0","B","WoodSplit",25.56,12,7,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
3,1,3,51,"M","M",NA,"L1","A","FlatStone",25.56,12,7,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
3,1,3,52,"M","M",NA,"L0","A","FlatStone",25.55,10,6,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
3,1,3,52,"M","M",NA,"L1","A","FlatStone",25.55,10,6,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
