"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
3,1,7,1,"M","F",2025-10-14,"L1","C","BrickWood",28.66,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,2,"M","F",2025-10-14,"L1","C","BrickWood",27.29,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,3,"M","F",2025-10-14,"L1","B","BrickWood",28.54,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,4,"L","F",2025-10-14,"L1","D","BrickConcrete",30.81,20,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,5,"S","F",2025-10-14,"L1","B","BrickWood",20.21,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,6,"M","F",2025-10-14,"L1","A","BrickConcrete",23.21,8,6,1,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,7,"M","F",2025-10-14,"L1","B","BrickWood",25.55,11,7,2,1,NA,NA,NA,NA,NA,NA,NA
3,1,7,8,"S","F",2025-10-14,"L1","C","BrickWood",21.62,7,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,9,"M","F",2025-10-14,"L1","D","BrickConcrete",29.91,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,1,7,10,"M","F",2025-10-14,"L1","A","BrickConcrete",26.41,12,6,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,8,11,"M","F",2025-10-14,"L1","C","BrickConcrete",25.6,11,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,8,12,"M","F",2025-10-14,"L1","D","BrickWood",24.06,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,8,13,"M","F",2025-10-14,"L1","A","BrickWood",29.75,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,8,14,"M","F",2025-10-14,"L1","B","BrickConcrete",28.56,17,8,2,2,NA,NA,NA,NA,NA,NA,"new?"
4,1,8,15,"S","F",2025-10-14,"L1","D","BrickWood",20.73,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,8,16,"M","F",2025-10-14,"L1","A","BrickWood",26.88,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,8,17,"M","M",2025-10-14,"L1","D","BrickWood",24.15,8,4,2,2,NA,NA,NA,NA,NA,NA,NA
4,1,8,18,"S","M",2025-10-14,"L1","C","BrickConcrete",20.91,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
