"koura_id","experiment","round","exp_tank","hold_tank","location_after_exp1","size_class","sex","size_mm1","weight_g1","legs1","claws1","antenna1","moult_date","size_mm2","weight_g2","legs2","claws2","antenna2","notes"
1,"1","1",1,"7","7","M","F",25.62,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","1",2,"9","7","M","M",27.25,14,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","1",3,"8","7","M","M",25.97,11,8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","1",4,"9","7","M","F",27.45,14,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","1",5,"7","7","M","M",23.71,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","1",6,"8","7","M","F",27.49,14,8,2,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","2",1,"9","7","M","F",28.94,16,8,2,NA,"45924",31.49,19,8,2,2,NA
8,"1","2",2,"8","7","M","F",29.78,17,8,2,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","2",3,"7","7","M","M",24.7,10,7,2,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","2",4,"7","7","M","F",25.21,7,6,2,2,"45925",NA,NA,NA,NA,NA,"1 claw small"
11,"1","2",5,"8","7","M","M",29.49,17,8,2,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","2",6,"9","7","M","M",24.57,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","3",1,"8","7","M","M",23.84,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","3",2,"9","7","M","F",25.18,10,8,2,2,"45935",26.52,11,8,2,2,"blue"
15,"1","3",3,"7","7","M","M",22.61,8,8,2,NA,"45924",24.17,8,7,1,2,NA
16,"1","3",4,"8","8","M","M",25.8,11,7,1,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","3",5,"9","8","M","F",25.33,11,7,2,2,NA,NA,NA,NA,NA,NA,NA
18,"1","3",6,"7","8","M","F",28.79,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
19,"1","4",1,"8","8","M","F",28.72,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
20,"1","4",2,"7","8","M","F",23.22,7,8,2,2,"45905",23.94,10,8,2,2,"Moulted"
21,"1","4",3,"9","8","M","F",26.81,13,8,2,2,"45902",27.87,16,8,2,2,"Moulted"
22,"1","4",4,"8","8","M","M",25.17,13,8,2,NA,"45901",28.47,14,8,1,2,"Moulted"
23,"1","4",5,"9","8","M","M",23.85,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
24,"1","4",6,"7","8","M","M",28.17,15,8,2,NA,NA,NA,NA,NA,NA,NA,NA
25,"1","5",1,"7","8","M","F",24.34,9,7,2,2,"45924",25.73,10,8,2,2,NA
26,"1","5",2,"9","8","M","M",25.97,13,8,2,NA,"45929",28.33,17,8,2,2,"Moulted"
27,"1","5",3,"8","8","M","F",28.89,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
28,"1","5",4,"7","8","M","M",23.96,11,8,2,NA,"45904",26.42,13,8,2,2,"Moulted"
29,"1","5",5,"9","8","M","M",28.41,15,8,2,NA,"45902",29.97,17,8,2,2,"Moulted"
30,"1","5",6,"8","8","M","F",27.24,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
31,"Extra","Extra",0,"w1","9","M","M",28.86,10,6,2,2,NA,NA,NA,NA,NA,NA,NA
32,"Extra","Extra",0,"w1","9","M","M",23.93,9,8,2,2,NA,NA,NA,NA,NA,NA,NA
33,"Extra","Extra",0,"w1","9","M","M",27.02,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
34,"Extra","Extra",0,"w1","9","M","M",24.22,9,8,2,2,NA,NA,NA,NA,NA,NA,NA
