"tank","round","location","reef_id","reef_type"
1,1,"A",1,"Wood"
1,1,"B",2,"Single"
1,1,"C",4,"Pile"
1,1,"D",3,"Flat"
2,1,"A",2,"Single"
2,1,"B",3,"Flat"
2,1,"C",4,"Pile"
2,1,"D",1,"Wood"
3,1,"A",1,"Wood"
3,1,"B",4,"Pile"
3,1,"C",3,"Flat"
3,1,"D",2,"Single"
4,1,"A",2,"Single"
4,1,"B",4,"Pile"
4,1,"C",1,"Wood"
4,1,"D",3,"Flat"
5,1,"A",1,"Wood"
5,1,"B",4,"Pile"
5,1,"C",2,"Single"
5,1,"D",3,"Flat"
6,1,"A",1,"Wood"
6,1,"B",2,"Single"
6,1,"C",3,"Flat"
6,1,"D",4,"Pile"
1,2,"A",1,"Wood"
1,2,"B",2,"Single"
1,2,"C",3,"Flat"
1,2,"D",4,"Pile"
2,2,"A",4,"Pile"
2,2,"B",3,"Flat"
2,2,"C",1,"Wood"
2,2,"D",2,"Single"
3,2,"A",2,"Single"
3,2,"B",4,"Pile"
3,2,"C",3,"Flat"
3,2,"D",1,"Wood"
4,2,"A",4,"Pile"
4,2,"B",2,"Single"
4,2,"C",1,"Wood"
4,2,"D",3,"Flat"
5,2,"A",4,"Pile"
5,2,"B",2,"Single"
5,2,"C",3,"Flat"
5,2,"D",1,"Wood"
6,2,"A",1,"Wood"
6,2,"B",3,"Flat"
6,2,"C",4,"Pile"
6,2,"D",2,"Single"
1,3,"A",3,"Flat"
1,3,"B",4,"Pile"
1,3,"C",1,"Wood"
1,3,"D",2,"Single"
2,3,"A",4,"Pile"
2,3,"B",3,"Flat"
2,3,"C",1,"Wood"
2,3,"D",2,"Single"
3,3,"A",3,"Flat"
3,3,"B",4,"Pile"
3,3,"C",2,"Single"
3,3,"D",1,"Wood"
4,3,"A",3,"Flat"
4,3,"B",1,"Wood"
4,3,"C",4,"Pile"
4,3,"D",2,"Single"
5,3,"A",3,"Flat"
5,3,"B",1,"Wood"
5,3,"C",2,"Single"
5,3,"D",4,"Pile"
6,3,"A",1,"Wood"
6,3,"B",4,"Pile"
6,3,"C",3,"Flat"
6,3,"D",2,"Single"
1,4,"A",2,"Single"
1,4,"B",3,"Flat"
1,4,"C",1,"Wood"
1,4,"D",4,"Pile"
2,4,"A",1,"Wood"
2,4,"B",3,"Flat"
2,4,"C",4,"Pile"
2,4,"D",2,"Single"
3,4,"A",4,"Pile"
3,4,"B",1,"Wood"
3,4,"C",2,"Single"
3,4,"D",3,"Flat"
4,4,"A",4,"Pile"
4,4,"B",1,"Wood"
4,4,"C",3,"Flat"
4,4,"D",2,"Single"
5,4,"A",2,"Single"
5,4,"B",1,"Wood"
5,4,"C",4,"Pile"
5,4,"D",3,"Flat"
6,4,"A",4,"Pile"
6,4,"B",3,"Flat"
6,4,"C",1,"Wood"
6,4,"D",2,"Single"
1,5,"A",4,"Pile"
1,5,"B",2,"Single"
1,5,"C",3,"Flat"
1,5,"D",1,"Wood"
2,5,"A",2,"Single"
2,5,"B",1,"Wood"
2,5,"C",4,"Pile"
2,5,"D",3,"Flat"
3,5,"A",4,"Pile"
3,5,"B",1,"Wood"
3,5,"C",3,"Flat"
3,5,"D",2,"Single"
4,5,"A",4,"Pile"
4,5,"B",2,"Single"
4,5,"C",1,"Wood"
4,5,"D",3,"Flat"
5,5,"A",3,"Flat"
5,5,"B",2,"Single"
5,5,"C",4,"Pile"
5,5,"D",1,"Wood"
6,5,"A",4,"Pile"
6,5,"B",1,"Wood"
6,5,"C",2,"Single"
6,5,"D",3,"Flat"
